"Area,""Country"",""Id"",""Competition"",""Tier"",""Comp_URL"",""Standings_URL"""
"Europa,""Croatia"",""KR1"",""SuperSport HNL"",""First Tier"",""https://www.transfermarkt.com/supersport-hnl/startseite/wettbewerb/KR1/saison_id/2024"",""https://www.transfermarkt.com/supersport-hnl/tabelle/wettbewerb/KR1/saison_id/2024"""
"Europa,""Serbia"",""SER1"",""Super liga Srbije"",""First Tier"",""https://www.transfermarkt.com/super-liga-srbije/startseite/wettbewerb/SER1/saison_id/2024"",""https://www.transfermarkt.com/super-liga-srbije/tabelle/wettbewerb/SER1/saison_id/2024"""
"Europa,""Hungary"",""UNG1"",""NB I."",""First Tier"",""https://www.transfermarkt.com/nemzeti-bajnoksag/startseite/wettbewerb/UNG1/saison_id/2024"",""https://www.transfermarkt.com/nemzeti-bajnoksag/tabelle/wettbewerb/UNG1/saison_id/2024"""
"Europa,""Belgium"",""BE1"",""Jupiler Pro League"",""First Tier"",""https://www.transfermarkt.com/jupiler-pro-league/startseite/wettbewerb/BE1/saison_id/2024"",""https://www.transfermarkt.com/jupiler-pro-league/tabelle/wettbewerb/BE1/saison_id/2024"""
"Europa,""Switzerland"",""C1"",""Super League"",""First Tier"",""https://www.transfermarkt.com/super-league/startseite/wettbewerb/C1/saison_id/2024"",""https://www.transfermarkt.com/super-league/tabelle/wettbewerb/C1/saison_id/2024"""
"Europa,""Austria"",""A1"",""Bundesliga"",""First Tier"",""https://www.transfermarkt.com/bundesliga/startseite/wettbewerb/A1/saison_id/2024"",""https://www.transfermarkt.com/bundesliga/tabelle/wettbewerb/A1/saison_id/2024"""
"Europa,""Czech Republic"",""TS1"",""Fortuna Liga"",""First Tier"",""https://www.transfermarkt.com/fortuna-liga/startseite/wettbewerb/TS1/saison_id/2024"",""https://www.transfermarkt.com/fortuna-liga/tabelle/wettbewerb/TS1/saison_id/2024"""
"Europa,""Poland"",""PL1"",""Ekstraklasa"",""First Tier"",""https://www.transfermarkt.com/pko-ekstraklasa/startseite/wettbewerb/PL1/saison_id/2024"",""https://www.transfermarkt.com/pko-ekstraklasa/tabelle/wettbewerb/PL1/saison_id/2024"""
"Europa,""France"",""FR1"",""Ligue 1"",""First Tier"",""https://www.transfermarkt.com/ligue-1/startseite/wettbewerb/FR1/saison_id/2024"",""https://www.transfermarkt.com/ligue-1/tabelle/wettbewerb/FR1/saison_id/2024"""
"Europa,""Netherlands"",""NL1"",""Eredivisie"",""First Tier"",""https://www.transfermarkt.com/eredivisie/startseite/wettbewerb/NL1/saison_id/2024"",""https://www.transfermarkt.com/eredivisie/tabelle/wettbewerb/NL1/saison_id/2024"""
"Europa,""Romania"",""RO1"",""SuperLiga"",""First Tier"",""https://www.transfermarkt.com/superliga/startseite/wettbewerb/RO1/saison_id/2024"",""https://www.transfermarkt.com/superliga/tabelle/wettbewerb/RO1/saison_id/2024"""
"Europa,""Germany"",""L1"",""Bundesliga"",""First Tier"",""https://www.transfermarkt.com/bundesliga/startseite/wettbewerb/L1/saison_id/2024"",""https://www.transfermarkt.com/bundesliga/tabelle/wettbewerb/L1/saison_id/2024"""
