"league_id","Position","Club","Played","W","D","L","Goals","GD","Pts","Area","Country","Id","Competition","Tier"
1,1,"HNK Rijeka",23,12,9,2,"36:10",26,45,"Europa","Croatia","KR1","SuperSport HNL","First Tier"
1,2,"Hajduk Split",23,12,8,3,"36:18",18,44,"Europa","Croatia","KR1","SuperSport HNL","First Tier"
1,3,"Dinamo Zagreb",23,11,5,7,"45:32",13,38,"Europa","Croatia","KR1","SuperSport HNL","First Tier"
1,4,"NK Varazdin",23,7,9,7,"18:17",1,30,"Europa","Croatia","KR1","SuperSport HNL","First Tier"
1,5,"NK Osijek",23,8,6,9,"32:33",-1,30,"Europa","Croatia","KR1","SuperSport HNL","First Tier"
1,6,"Slaven Belupo",23,7,8,8,"25:28",-3,29,"Europa","Croatia","KR1","SuperSport HNL","First Tier"
1,7,"NK Lokomotiva",23,8,4,11,"31:37",-6,28,"Europa","Croatia","KR1","SuperSport HNL","First Tier"
1,8,"NK Istra",23,5,10,8,"21:33",-12,25,"Europa","Croatia","KR1","SuperSport HNL","First Tier"
1,9,"HNK Gorica",23,6,5,12,"20:33",-13,23,"Europa","Croatia","KR1","SuperSport HNL","First Tier"
1,10,"HNK Sibenik",23,4,6,13,"19:42",-23,18,"Europa","Croatia","KR1","SuperSport HNL","First Tier"
2,1,"Red Star",25,23,2,0,"89:17",72,71,"Europa","Serbia","SER1","Super liga Srbije","First Tier"
2,2,"Partizan",25,14,8,3,"48:26",22,50,"Europa","Serbia","SER1","Super liga Srbije","First Tier"
2,3,"Radnicki 1923",25,13,4,8,"43:31",12,43,"Europa","Serbia","SER1","Super liga Srbije","First Tier"
2,4,"Mladost",25,11,6,8,"29:27",2,39,"Europa","Serbia","SER1","Super liga Srbije","First Tier"
2,5,"Vojvodina",25,9,9,7,"39:28",11,36,"Europa","Serbia","SER1","Super liga Srbije","First Tier"
2,6,"Cukaricki",25,9,8,8,"33:33",0,35,"Europa","Serbia","SER1","Super liga Srbije","First Tier"
2,7,"OFK Beograd",24,9,7,8,"29:33",-4,34,"Europa","Serbia","SER1","Super liga Srbije","First Tier"
2,8,"Novi Pazar",25,9,5,11,"36:47",-11,32,"Europa","Serbia","SER1","Super liga Srbije","First Tier"
2,9,"FK TSC",25,9,4,12,"38:37",1,31,"Europa","Serbia","SER1","Super liga Srbije","First Tier"
2,10,"Spartak",25,7,9,9,"22:34",-12,30,"Europa","Serbia","SER1","Super liga Srbije","First Tier"
2,11,"Radnicki Nis",25,8,6,11,"35:48",-13,30,"Europa","Serbia","SER1","Super liga Srbije","First Tier"
2,12,"Zelez. Pancevo",24,7,7,10,"29:29",0,28,"Europa","Serbia","SER1","Super liga Srbije","First Tier"
2,13,"Napredak",25,7,7,11,"24:33",-9,28,"Europa","Serbia","SER1","Super liga Srbije","First Tier"
2,14,"IMT Belgrad",25,7,6,12,"30:41",-11,27,"Europa","Serbia","SER1","Super liga Srbije","First Tier"
2,15,"Tekstilac",25,7,4,14,"19:42",-23,25,"Europa","Serbia","SER1","Super liga Srbije","First Tier"
2,16,"Jedinstvo Ub",25,3,2,20,"16:53",-37,11,"Europa","Serbia","SER1","Super liga Srbije","First Tier"
3,1,"Puskás AFC",21,14,2,5,"36:22",14,44,"Europa","Hungary","UNG1","NB I.","First Tier"
3,2,"Ferencváros",21,11,6,4,"33:22",11,39,"Europa","Hungary","UNG1","NB I.","First Tier"
3,3,"Paksi FC",21,11,4,6,"43:34",9,37,"Europa","Hungary","UNG1","NB I.","First Tier"
3,4,"MTK Budapest",21,10,3,8,"34:30",4,33,"Europa","Hungary","UNG1","NB I.","First Tier"
3,5,"Diósgyőr",21,8,7,6,"28:30",-2,31,"Europa","Hungary","UNG1","NB I.","First Tier"
3,6,"Újpest FC",21,7,8,6,"23:20",3,29,"Europa","Hungary","UNG1","NB I.","First Tier"
3,7,"ETO FC Győr",21,7,7,7,"30:27",3,28,"Europa","Hungary","UNG1","NB I.","First Tier"
3,8,"Fehérvár",21,7,3,11,"26:31",-5,24,"Europa","Hungary","UNG1","NB I.","First Tier"
3,9,"Zalaegerszeg",21,6,5,10,"26:31",-5,23,"Europa","Hungary","UNG1","NB I.","First Tier"
3,10,"Nyíregyháza",21,6,5,10,"24:33",-9,23,"Europa","Hungary","UNG1","NB I.","First Tier"
3,11,"Debrecen",21,5,4,12,"34:44",-10,19,"Europa","Hungary","UNG1","NB I.","First Tier"
3,12,"Kecskemét",21,4,6,11,"20:33",-13,18,"Europa","Hungary","UNG1","NB I.","First Tier"
4,1,"KRC Genk",27,19,4,4,"51:31",20,61,"Europa","Belgium","BE1","Jupiler Pro League","First Tier"
4,2,"Club Brugge",27,15,7,5,"57:32",25,52,"Europa","Belgium","BE1","Jupiler Pro League","First Tier"
